Question,text
What are Eigenvalue and Eigenvector?,"Eigenvectors are for understanding linear transformations. In data analysis, 
we usually calculate the eigenvectors for a correlation or covariance matrix. 
Eigenvalues are the directions along which a particular linear transformation acts by 
flipping, compressing or stretching."
What is Selection Bias?,"Selection bias is a kind of error that occurs when the researcher decides who 
is going to be studied. It is usually associated with research where the selection of 
participants isn’t random. It is sometimes referred to as the selection effect. It is the 
distortion of statistical analysis, resulting from the method of collecting samples. If the 
selection bias is not taken into account, then some conclusions of the study may not be 
accurate. 
The types of selection bias include: 
Sampling bias: It is a systematic error due to a non-random sample of a population 
causing some members of the population to be less likely to be included than others 
resulting in a biased sample. 
Time interval: A trial may be terminated early at an extreme value (often for ethical 
reasons), but the extreme value is likely to be reached by the variable with the largest 
variance, even if all variables have a similar mean. 
Data: When specific subsets of data are chosen to support a conclusion or rejection of 
bad data on arbitrary grounds, instead of according to previously stated or generally 
agreed criteria. 
Attrition: Attrition bias is a kind of selection bias caused by attrition (loss of participants) 
discounting trial subjects/tests that did not run to completion."
How does data cleaning plays a vital role in the analysis?,"Data cleaning can help in the analysis because: 
Cleaning data from multiple sources helps to transform it into a format that data analysts 
or data scientists can work with. 
Data Cleaning helps to increase the accuracy of the model in machine learning. 
It is a cumbersome process because as the number of data sources increases, the time 
taken to clean the data increases exponentially due to the number of sources and the 
volume of data generated by these sources. 
It might take up to 80% of the time for just cleaning data making it a critical part of the 
analysis task."
Can you explain the difference between a Validation Set and a Test Set?,"A Validation set can be considered as a part of the training set as it is used for 
parameter selection and to avoid overfitting of the model being built. 
On the other hand, a Test Set is used for testing or evaluating the performance of a 
trained machine learning model. 
In simple terms, the differences can be summarized as; training set is to fit the 
parameters i.e. weights and test set is to assess the performance of the model i.e. 
evaluating the predictive power and generalization."
What do you mean by Deep Learning and Why has it become popular now?,"Deep Learning is nothing but a paradigm of machine learning which has 
shown incredible promise in recent years. This is because of the fact that Deep 
Learning shows a great analogy with the functioning of the human brain. 
Now although Deep Learning has been around for many years, the major 
breakthroughs from these techniques came just in recent years. 
This is because of two main reasons: 
The increase in the amount of data generated through various sources 
The growth in hardware resources required to run these models 
GPUs are multiple times faster and they help us build bigger and deeper deep learning 
models in comparatively less time than we required previously."
What are the variants of Back Propagation?,"Stochastic Gradient Descent: We use only a single training example for 
calculation of gradient and update parameters. 
Batch Gradient Descent: We calculate the gradient for the whole dataset and perform 
the update at each iteration. 
Mini-batch Gradient Descent: It’s one of the most popular optimization algorithms. It’s a 
variant of Stochastic Gradient Descent and here instead of single training example, 
mini-batch of samples is used."
Please explain the role of data cleaning in data analysis.,"Data cleaning can be a daunting task due to the fact that with the increase in 
the number of data sources, the time required for cleaning the data increases at an 
exponential rate. 
This is due to the vast volume of data generated by additional sources. Also, data 
cleaning can solely take up to 80% of the total time required for carrying out a data 
analysis task. 
Nevertheless, there are several reasons for using data cleaning in data analysis. 
Two of the most important ones are: 
Cleaning data from different sources helps in transforming the data into a format that is 
easy to work with 
Data cleaning increases the accuracy of a machine learning model"
What do you understand by linear regression and logistic regression?,"Linear regression is a form of statistical technique in which the score of some 
variable Y is predicted on the basis of the score of a second variable X, referred to as 
the predictor variable. The Y variable is known as the criterion variable. 
Also known as the logit model, logistic regression is a statistical technique for predicting 
the binary outcome from a linear combination of predictor variables."
What do you understand by Deep Learning?,"Deep Learning is a paradigm of machine learning that displays a great degree 
of analogy with the functioning of the human brain. It is a neural network method based 
on convolutional neural networks (CNN). 
Deep learning has a wide array of uses, ranging from social network filtering to medical 
image analysis and speech recognition. Although Deep Learning has been present for a 
long time, it’s only recently that it has gained worldwide acclaim. This is mainly due to: 
An increase in the amount of data generation via various sources 
The growth in hardware resources required for running Deep Learning models 
Caffe, Chainer, Keras, Microsoft Cognitive Toolkit, Pytorch, and TensorFlow are some 
of the most popular Deep Learning frameworks as of today."
What is overfitting?,"Any prediction rate which has a high inconsistency between the training error 
and the test error leads ta a high business problem, if the error rate in training set is low 
and the error rate ithe n test set is high, then we can conclude it as overfitting model."
Advantages of Tableau Prep?,"Tableau Prep will reduce a lot of time like how its parent software (Tableau) 
does when creating impressive visualizations. The tool has a lot of potentials in taking 
professionals from data cleaning, merging step to creating final usable data that can be 
linked to the Tableau desktop for getting visualization and business insights. A lot of 
manual tasks will be reduced and the time can be used to make better findings and 
insights."
How make you 3D plots/visualizations using NumPy/SciPy?,"Like 2D plotting, 3D graphics is beyond the scope of NumPy and SciPy, but 
just as in this 2D example, packages exist that integrate with NumPy. Matplotlib 
provides primary 3D plotting in 
the mplot3d subpackage, whereas Mayavi produces a wide range of high-quality 3D 
visualization features, utilizing the powerful VTK engine."
"Compare Sas, R, And Python Programming?","SAS: it is one of the most widely used analytics tools used by some of the biggest 
companies on earth. It has some of the best statistical functions, graphical user 
interface, but can come with a price tag and hence it cannot be readily adopted by 
smaller enterprises 
R: The best part about R is that it is an Open Source tool and hence used generously 
by academia and the research community. It is a robust tool for statistical computation, 
graphical representation, and reporting. Due to its open source nature, it is always being 
updated with the latest features and then readily available to everybody. 
Python: Python is a powerful open source programming language that is easy to learn, 
works well with most other tools and technologies. The best part about Python is that it 
has innumerable libraries and community created modules making it very robust. It has 
functions for statistical operation,"
"Describe Univariate, Bivariate And Multivariate Analysis?","As the name suggests these are analysis methodologies having a single, 
double or multiple variables. 
So a univariate analysis will have one variable and due to this, there are no 
relationships, causes. The major aspect of the univariate analysis is to summarize the 
data and find the patterns within it to make actionable decisions. 
A Bivariate analysis deals with the relationship between two sets of data. These sets of 
paired data come from related sources, or samples. There are various tools to analyze 
such data including the chi-squared tests and t-tests when the data are having a 
correlation. 
If the data can be quantified then it can be analyzed using a graph plot or a scatterplot. 
The strength of the correlation between the two data sets will be tested in a Bivariate 
analysis."
What Are Interpolation And Extrapolation?,"The terms of interpolation and extrapolation are extremely important in any 
statistical analysis. Extrapolation is the determination or estimation using a known set of 
values or facts by extending it and taking it to an area or region that is unknown. It is the 
technique of inferring something using data that is available. 
Interpolation, on the other hand, is the method of determining a certain value which falls 
between a certain set of values or the sequence of values. 
This is especially useful when you have data at the two extremities of a certain region 
but you don’t have enough data points at a specific point. This is when you deploy 
interpolation to determine the value that you need."
How Is Data Modeling Different From Database Design?,"Data Modeling: It can be considered as the first step towards the design of a 
database. Data modeling creates a conceptual model based on the relationship 
between various data models. The process involves moving from the conceptual stage 
to the logical model to the physical schema. It involves the systematic method of 
applying data modeling techniques. 
Database Design: This is the process of designing the database. The database design 
creates an output which is a detailed data model of the database. Strictly speaking, 
database design includes the detailed logical model of a database but it can also 
include physical design choices and storage parameters."
Differentiate between Data modeling and Database design?,"Data Modeling – Data modeling (or modeling) in software engineering is the 
process of creating a data model for an information system by applying formal data 
modeling techniques. 
Database Design– Database design is the system of producing a detailed data model 
of a database. The term database design can be used to describe many different parts 
of the design of an overall database system."
What is selection bias and why does it matter?,"Selection bias is a product of inadequately or improperly randomized data 
leading to data sets that are not representative of the whole. In an interview, you should 
express the importance of this in terms of its effect on your solution. If your data is not 
representative, your solutions likely are not either."
"Differentiate between univariate, bivariate and multivariate analysis?","Univariate analyses are descriptive statistical analysis techniques which can 
be differentiated based on the number of variables involved at a given point of time. For 
example, the pie charts of sales based on territory involve only one variable and can the 
analysis can be referred to as univariate analysis. 
The bivariate analysis attempts to understand the difference between two variables at a 
time as in a scatterplot. For example, analyzing the volume of sale and spending can be 
considered as an example of bivariate analysis. 
The multivariate analysis deals with the study of more than two variables to understand 
the effect of variables on the responses."
"Can you cite some examples where a false negative important than a false 
positive?","1: Assume there is an airport ‘A’ which has received high-security threats and 
based on certain characteristics they identify whether a particular passenger can be a 
threat or not. Due to a shortage of staff, they decide to scan passengers being predicted 
as risk positives by their predictive model. What will happen if a true threat customer is 
being flagged as non-threat by airport model? 
2: What if the Jury or judge decides to make a criminal go free? 
3: What if you rejected to marry a very good person based on your predictive model and 
you happen to meet him/her after a few years and realize that you had a false negative?"
Describe the structure of Artificial Neural Networks?,"Artificial Neural Networks works on the same principle as a biological Neural 
Network. It consists of inputs which get processed with weighted sums and Bias, with 
the help of Activation Functions."
What do you understand by the Selection Bias? What are its various types?,"Selection bias is typically associated with research that doesn’t have a random 
selection of participants. It is a type of error that occurs when a researcher decides who 
is going to be studied. On some occasions, selection bias is also referred to as the 
selection effect. 
In other words, selection bias is a distortion of statistical analysis that results from the 
sample collecting method. When selection bias is not taken into account, some 
conclusions made by a research study might not be accurate. Following are the various 
types of selection bias: 
Sampling Bias: A systematic error resulting due to a non-random sample of a populace 
causing certain members of the same to be less likely included than others that results 
in a biased sample. 
Time Interval – A trial might be ended at an extreme value, usually due to ethical 
reasons, but the extreme value is most likely to be reached by the variable with the 
most variance, even though all variables have a similar mean. 
Data – Results when specific data subsets are selected for supporting a conclusion or 
rejection of bad data arbitrarily. 
Attrition – Caused due to attrition, i.e. loss of participants, discounting trial subjects or 
tests that didn’t run to completion."
Please explain Recommender Systems along with an application?,"Recommender Systems is a subclass of information filtering systems, meant 
for predicting the preferences or ratings awarded by a user to some product. 
An application of a recommender system is the product recommendations section on 
Amazon. This section contains items based on the user’s search history and past 
orders."
"Could you explain how to define the number of clusters in a clustering 
algorithm?","The primary objective of clustering is to group together similar identities in 
such a way that while entities within a group are similar to each other, the groups 
remain different from one another. 
Generally, Within Sum of Squares is used for explaining the homogeneity within a 
cluster. For defining the number of clusters in a clustering algorithm, WSS is plotted for 
a range pertaining to a number of clusters. The resultant graph is known as the Elbow 
Curve. 
The Elbow Curve graph contains a point that represents the point post which there 
aren’t any decrements in the WSS. This is known as the bending point and represents K 
in K–Means. 
Although the aforementioned is the widely-used approach, another important approach 
is the Hierarchical clustering. In this approach, dendrograms are created first and then 
distinct groups are identified from there."
What are the types of machine learning?,"• 
Supervised learning 
• 
Unsupervised learning 
• 
Reinforcement Learning"
What is a Random Forest?,"Random forest is a versatile method in machine learning that performs both 
classification and regression tasks. It also helps in areas like treats missing values, 
dimensionality reduction, and outlier values. It is like gathering the various weak 
modules comes together to form a robust model"
What is Reinforcement learning?,"Reinforcement learning maps the situations to what to do and how to map 
actions. The end result of this Reinforcement learning is to maximize the numerical 
reward signal. The learner is not defined with what action to do next but instead must 
discover which actions will give the maximum reward. Reinforcement learning is 
developed from the learning process of human beings. It works based on the 
reward/penalty mechanism."
What does P-value signify about the statistical data?,"P-value is used to determine the significance of results after a hypothesis test 
in statistics. P-value helps the readers to draw conclusions and is always between 0 
and P-Value – 0.05 denotes weak evidence against the null hypothesis which means the 
null hypothesis cannot be rejected. 
P-value -0.05 denotes strong evidence against the null hypothesis which means the null 
hypothesis can be rejected. 
P-value -0.05is the marginal value indicating it is possible to go either way. 
Get hands-on experience for your interviews with free access to the solved code 
example." 
What is an example of a data set with a non-Gaussian distribution?,"The Gaussian distribution is part of the Exponential family of distributions, but 
there are a lot more of them, with the same sort of ease of use, in many cases, and if 
the person doing the machine learning has a solid grounding in statistics, they can be 
utilized where appropriate"
How regularly must an algorithm be updated?,"You will want to update an algorithm when: 
You want the model to evolve as data streams through infrastructure 
The underlying data source is changing 
There is a case of non-stationarity 
Planning for Data Science Certification in R – Programming? Here’re 100 Data Science 
Foundations Questions. Take this free practice test to know where you stand."
How has your prior experience prepared you for a role in data science?,"This question helps determine the candidate’s experience from a holistic 
perspective and reveals experience in demonstrating interpersonal, communication and 
technical skills. It is important to understand this because data scientists must be able to 
communicate their findings, work in a team environment and have the skills to perform 
the task."
What is Unsupervised learning?,"Unsupervised learning is a type of machine learning algorithm used to draw 
inferences from datasets consisting of input data without labeled responses. 
Algorithms: Clustering, Anomaly Detection, Neural Networks, and Latent Variable 
Models 
Data Science Mock interviews for you 
Interviews by Industry ExpertsPersonalized detailed interview feedback access to 
exclusive and curated content 
E.g. In the same example, a fruit clustering will categorize as “fruits with soft skin and 
lots of dimples”, “fruits with shiny hard skin” and “elongated yellow fruits”."
Could you draw a comparison between overfitting and underfitting?,"In order to make reliable predictions on general untrained data in machine 
learning and statistics, it is required to fit a  model to a set of training data. Overfitting 
and underfitting are two of the most common modeling errors that occur while doing so. 
Following are the various differences between overfitting and underfitting: 
Definition – A statistical model suffering from overfitting describes some random error or 
noise in place of the underlying relationship. When underfitting occurs, a statistical 
model or machine learning algorithm fails in capturing the underlying trend of the data. 
Occurrence – When a statistical model or machine learning algorithm is excessively 
complex, it can result in overfitting. Example of a complex model is one having too 
many parameters when compared to the total number of observations. Underfitting 
occurs when trying to fit a linear model to non-linear data. 
Poor Predictive Performance – Although both overfitting and underfitting yield poor 
predictive performance, the way in which each one of them does so is different. While 
the overfitted model overreacts to minor fluctuations in the training data, the underfit 
model under-reacts to even bigger fluctuations."
Can you compare the validation set with the test set?,"A validation set is part of the training set used for parameter selection as well 
as for avoiding overfitting of the machine learning model being developed. On the 
contrary, a test set is meant for evaluating or testing the performance of a trained 
machine learning model."
Please explain the concept of a Boltzmann Machine.,"A Boltzmann Machine features a simple learning algorithm that enables the 
same to discover fascinating features representing complex regularities present in the 
training data. It is basically used for optimizing the quantity and weight for some given 
problem. 
The simple learning algorithm involved in a Boltzmann Machine is very slow in networks 
that have many layers of feature detectors."
What are the time series algorithms?,"Time series algorithms like ARIMA, ARIMAX, SARIMA, Holts winters are very 
interesting to learn and use as well to solve a lot of complex problems for businesses. 
Data preparation for time series analysis plays a vital role. The stationarity, seasonality, 
cycles, and noises need time and attention. Take as much time as you would like to 
make the data right. Then you can run any model on top of it."
"Now companies are heavily investing their money and time to make the 
dashboards. Why?","To make stakeholders more aware of the business through data. Working on 
visualization projects helps you develop one of the key skills every data scientist should 
possess i.e. Thinking from the shoes of the end-user. 
If you’re learning any visualization tool, download a dataset from kaggle. Building charts 
and graphs for the dashboard should be the last step. Research more about the domain 
and think about the KPIs you would like to see in the dashboard if you’re going to be the 
end-user. Then start building the dashboard piece by piece."
Explain The Various Benefits Of R Language?,"The R programming language includes a set of a software suite that is used 
for graphical representation, statistical computing, data manipulation, and calculation. 
Some of the highlights of the R programming environment include the following: 
An extensive collection of tools for data analysis 
Operators for performing calculations on matrix and array 
Data analysis technique for graphical representation 
A highly developed yet simple and effective programming language 
It extensively supports machine learning applications 
It acts as a connecting link between various software, tools, and datasets 
Create high-quality reproducible analysis that is flexible and powerful 
Provides a robust package ecosystem for diverse needs 
It is useful when you have to solve a data-oriented problem"
Why Data Cleansing Is Important In Data Analysis?,"With data coming in from multiple sources it is important to ensure that data is 
good enough for analysis. This is where data cleansing becomes extremely vital. Data 
cleansing extensively deals with the process of detecting and correcting data records, 
ensuring that data is complete and accurate and the components of data that are 
irrelevant are deleted or modified as per the needs. This process can be deployed in 
concurrence with data wrangling or batch processing. 
Once the data is cleaned it confirms with the rules of the data sets in the system. Data 
cleansing is an essential part of the data science because the data can be prone to 
error due to human negligence, corruption during transmission or storage among other 
things. Data cleansing takes a huge chunk of time and effort of a Data Scientist 
because of the multiple sources from which data emanates and the speed at which it 
comes."
